BATCH_ID,AMOUNT_TIP,TOTAL_EARNINGS
338336950,4.47,13.68
336650982,21.65,56.8
336428234,3.14,11.97
336190440,19.92,41.65
335981519,19.12,42.82
337656706,2,9.22
339558209,14.63,32.08
339491576,7,16.5
339518648,57.4,72.46
339322784,13.6,41.94
339760772,6.63,13.83
340485675,10,19.45
337633755,5.41,16.05
336759216,23.2,38.9
336784930,16.14,38.82
336686470,1.4,9.38
337372806,43.2,56.94
336793312,98.8,130.28
337990508,2.64,19.87
340125958,11.52,23.28
339572490,24.5,39.49
338115953,7.36,17.77
337376025,2.04,9.04
338754407,5.58,20.14
340379692,15.22,32.65
340472575,27.6,38.49
337590305,12.12,28.82
338606943,25.47,37.74
335967242,6.29,18.98
338119499,2,13.78
336907309,3.82,20.04
337302100,17.26,31.65
337695448,10.42,29.71
335784951,25.96,52.3
340530218,12.46,25.17
338788090,2,15
339727131,8.2,15.2
338019859,21.82,37.07
339362435,33.49,48.92
338310542,5.02,19.99
337917880,6.16,23.82
337563926,9.72,40.36
337061849,59.25,88.87
336057215,15.45,31.85
338585505,8.8,22.95
337180719,2.98,9.98
336106096,25.12,57.53
337342425,8.47,20.05
338356441,10,37.91
338619934,5.59,14.87
336162118,9.86,21.55
337094959,22.7,52.64
336784813,16.65,28.73
337349553,3.89,10.89
338540002,23.12,44.21
336587184,2,18.97
337194635,2.3,13.11
337109804,6.77,32.02
336609221,12.3,46.22
336776241,7.44,16.52
338767392,19.67,30.61
339149208,6.71,20.6
335744110,4.38,12.81
337137604,11.87,18.87
337010830,8.99,27.13
336926549,9.88,27.76
338573916,11.44,26.68
337824049,10,30.33
340276602,8.83,27.69
340334473,5.5,17.61
336406149,9.31,17.23
337751738,5.68,18.61
340703884,7.81,34.07
338014104,6,22.84
340499283,9.57,20.02
336475878,18.47,36.77
335684240,6.8,21.11
339277349,47.21,66.02
336597907,3.84,22.56
336131979,19.98,30.66
337675969,14.61,23.4
336637886,27.52,34.71
336671342,7.64,19.59
338797842,22.52,36.36
336153878,7.67,15.76
336645539,14.91,35.35
336533837,5.48,16.33
340334380,22.96,50.92
335735894,25.08,36.61
338639575,21.42,35.43
339531129,4,20.24
337243645,4.03,12.1
340556272,19.19,30.53
340524583,4.97,14.33
335805606,12.92,35.42
339929904,15.22,28.75
337064507,17.66,25.56
336408074,5.53,12.53
338572686,31.93,49.99
335773509,12.26,26.76
336040582,11.48,36.21
339214025,7.88,19.74
340675955,28.18,42.8
339171989,27.12,37.28
338248001,16.92,34.65
339618867,21.54,33.89
339405817,5.42,21.79
336313769,8.62,20.5
337820951,12.03,31.76
338311625,15,24.01
336152743,11.35,56.63
336613151,2.28,19.2
335740673,18.19,31.99
340375731,15.75,39.54
338421265,23,38.13
340690320,55.87,80.72
336149871,3.91,11.72
339583402,14.83,38.17
336815784,2,9
337227692,10,21.6
340493016,47.18,61.23
340604576,15,35.57
340527894,8.62,25.62
340404735,2,16.11
335783117,9.97,17.61
338027354,15.52,36.14
338558571,10.98,26.37
336758478,2.23,16.52
337390925,7.14,14.14
336808096,9.19,30.06
336211973,5.89,12.89
339961563,2,11.62
337853039,32.38,46.38
339285297,12.65,31.09
337959789,3.09,10.09
340073842,2,24.64
336210480,3.1,20.95
337277150,2,13.85
336346991,4.6,13.6
337348238,15.23,27.86
336548524,2.25,12.04
338089017,21.53,35.56
338297025,26.39,41.53
337586815,33.17,47.57
339384301,10,22.03
337866195,1,10.5
338340759,3.55,10.55
337819636,9.71,20.37
339478923,32.07,59.75
336137318,18.77,38.86
336519730,9.62,29.29
338862620,44.92,59.83
335818440,21.66,36.74
337955615,4.86,28.08
335855830,11.03,18.03
336774900,10.03,17.03
339213891,2,15.93
336909600,2,12.62
336552634,17.82,32.23
340437840,19.3,35.4
337932572,24.57,55.64
336038043,12.7,26.87
336210479,15.09,26.55
337147423,22.19,36.62
338855422,15.43,22.43
336949748,24.19,52.14
336517644,17,27.55
338396968,18.42,32.81
337743899,30,43.76
338087818,7.39,15.63
337158464,8.57,27.11
338822600,22.9,33.06
338875478,2.5,30.03
337025233,19.94,32.48
337269473,11.7,21.4
339249458,42.5,61.52
338922880,3,10
336758872,24.68,33.26
338098918,11.06,18.38
337489336,4.22,11.29
335718452,7.82,21.71
339740479,13.7,29.85
339065883,29.31,42.26
337698640,42.43,55.51
335945332,14.44,34.11
340339029,11,20.87
338486735,22.53,38.72
336170654,7.15,17.11
337406333,13.76,25.33
336587335,19.95,29.21
340759164,10.07,25.15
338467800,15,30.03
339530877,35.13,58.51
337512789,2,19.68
338715497,2.3,9.3
