BATCH_ID,NUM_DELIVERIES,REGION_ID,WAREHOUSE_ID,SHOPPER_ID,SHOPPER_TENURE,NUM_PRIOR_COMPLETED_BATCHES_SAME_WAREHOUSE
335856528,2,34,5,4569571,intermediate,47
338659728,3,34,161,12116284,beginner,14
340606368,1,34,5,1060006,veteran,269
340411782,1,34,5,7939626,veteran,83
336374752,1,31,1487,10189143,beginner,1
339097264,1,31,1487,11835235,new,3
340356392,1,34,1487,505466,beginner,2
338575054,2,31,38,12865018,new,0
337386549,1,34,38,10499604,beginner,23
337952039,2,31,5,12602775,beginner,19
337573365,2,34,279,7821918,intermediate,22
337994715,2,34,38,1512598,veteran,468
338582135,1,34,1487,12250957,beginner,3
339341836,1,31,1487,10613790,beginner,1
336686443,1,34,38,9636380,intermediate,70
338069766,2,34,38,3429264,veteran,561
336631589,2,34,5,10162112,veteran,154
338071391,1,31,279,12290323,new,7
337844551,1,34,1487,12332188,beginner,0
340675630,2,31,279,12787889,new,0
337324505,2,34,5,9315850,intermediate,138
337112132,2,31,279,11976398,beginner,42
339422238,1,31,5,12839325,new,0
336935100,1,34,38,9963432,intermediate,83
339823476,3,34,38,7510301,intermediate,40
335950280,1,34,38,9615735,veteran,113
339873869,2,34,279,12824712,new,2
336207571,1,34,38,2202469,intermediate,57
336751696,1,31,161,12319014,new,3
339983340,3,34,161,6138789,veteran,97
335938728,1,31,38,10140791,intermediate,44
339388375,1,34,1487,11976968,beginner,4
337133470,1,31,1487,9178623,intermediate,1
338382231,2,31,38,8523532,beginner,3
340661247,2,31,279,11315771,intermediate,65
336450969,2,34,5,10574126,intermediate,336
336607098,1,34,38,12586878,beginner,16
337379360,1,34,1487,12611242,new,0
337964950,2,31,38,12010328,beginner,2
339278996,1,34,38,8396713,veteran,125
338082814,1,34,1487,6691080,veteran,4
338481090,1,31,38,12893784,new,0
337194477,1,34,5,9660809,intermediate,33
336768410,1,34,1487,12650790,new,0
339971670,3,31,279,10806996,intermediate,31
336703899,1,34,1487,12469983,new,1
340295505,1,31,38,12677268,new,1
340767513,1,34,279,11553256,intermediate,15
335692690,1,34,279,12426091,new,6
335946093,2,31,38,9818355,intermediate,43
337297873,1,34,38,12593022,beginner,14
340447632,1,34,38,4318953,intermediate,28
337092041,3,34,38,12306318,new,3
336052172,2,31,38,12585142,beginner,24
336204299,1,34,38,10511525,intermediate,126
338787032,2,34,5,12025953,intermediate,123
338428506,2,34,38,6565343,veteran,124
338071037,1,31,38,12255988,beginner,12
339339604,1,34,5,12599417,new,1
338855443,2,31,279,10649733,intermediate,63
338052681,1,31,38,3812034,veteran,789
339954718,2,31,38,3428754,veteran,98
336207768,1,31,279,12819134,new,3
338745993,1,34,1487,12464303,new,1
337485587,1,34,1487,12117009,beginner,2
339065934,1,34,279,12722806,new,3
336212768,2,34,38,3667732,veteran,444
336185429,1,34,38,10284276,new,4
337842112,1,34,161,11397416,intermediate,88
337965661,2,34,1487,4254101,veteran,0
338376313,2,31,161,12910157,new,2
336497519,2,31,5,3819666,beginner,29
338811767,2,34,1487,11684351,new,1
338061962,2,31,1487,12848276,new,4
339906595,1,34,161,11724326,new,10
336569569,2,31,279,10344573,beginner,13
339611349,1,34,38,11011051,beginner,53
338894590,1,34,279,9618935,veteran,121
336799906,1,34,279,12888485,new,0
338075402,1,34,38,9409881,veteran,165
340216367,1,31,279,11101012,intermediate,177
340319904,2,31,5,247303,veteran,1180
340381471,2,31,5,12469625,new,1
340718193,2,31,5,12303553,new,4
340122514,2,34,279,6239446,veteran,550
340765936,1,34,1487,2540824,new,3
337254737,2,31,5,9232613,intermediate,71
338541641,2,34,5,8658590,veteran,194
338120288,2,31,161,12330225,new,6
336205784,3,34,279,7911181,intermediate,20
337191745,2,34,5,9153792,beginner,39
338084418,1,34,279,8350384,beginner,17
335799093,1,34,38,7214405,veteran,361
340437822,2,34,5,9741623,veteran,328
340367057,1,31,38,4644181,veteran,213
339410383,1,31,5,1625927,veteran,578
338485638,1,34,38,10143610,new,4
335832089,1,31,38,8109674,intermediate,109
336561764,2,31,1487,10153096,new,0
338685361,1,31,1487,7409642,intermediate,2
337343391,2,31,279,12320279,new,3
337801225,1,34,279,10584533,intermediate,5
336773492,1,31,5,11057198,beginner,11
336554138,2,34,1487,9087220,intermediate,0
335961399,1,34,1487,9741557,intermediate,0
337981228,1,34,1487,12309756,new,1
340299322,2,31,279,11891541,intermediate,54
340494926,1,31,38,9069384,beginner,36
336123386,2,34,279,2144864,intermediate,31
337193725,1,31,5,8192770,veteran,330
337359169,2,34,161,2704739,veteran,131
336736804,2,31,5,10570523,veteran,49
338781116,1,31,38,9015145,intermediate,66
339353637,2,34,5,9828554,beginner,14
336551744,1,31,5,10757306,intermediate,172
339722219,2,34,5,9798140,intermediate,93
340746602,1,34,5,11314104,beginner,32
337667848,2,34,279,11718660,veteran,24
337145526,1,34,38,12471341,new,1
336780187,1,31,5,9775917,beginner,17
338886518,3,31,279,11585595,intermediate,50
339748528,2,31,1487,9448169,intermediate,5
336384735,1,31,1487,12578959,beginner,1
336629603,1,34,5,6541606,beginner,61
338060925,2,31,5,4487930,veteran,221
336482643,1,34,161,12179121,beginner,13
336646590,2,34,5,9740120,beginner,15
340369327,1,31,5,11950743,intermediate,94
336993664,1,34,1487,10608912,beginner,2
336804143,1,34,161,8881195,veteran,155
339114328,1,34,279,673215,veteran,75
340429584,2,31,279,12715292,new,2
340075670,1,31,1487,9120509,new,0
335957507,1,31,38,3250548,beginner,33
336486528,1,31,38,9649735,beginner,31
337351642,2,34,5,8872939,new,6
339809279,1,31,38,12460235,new,11
339080503,1,34,38,9160046,veteran,293
339120653,2,31,38,10920320,beginner,23
339839138,1,34,5,12576065,beginner,6
336155334,1,34,5,6138789,veteran,379
338387268,2,31,38,11769884,beginner,20
338300463,2,34,38,9119885,beginner,37
336509935,1,34,161,11808909,intermediate,151
336561100,2,34,5,10140435,intermediate,44
339989068,2,34,38,6427179,new,1
336396772,1,34,1487,12657731,new,0
336578561,2,31,1487,12807606,new,1
339144814,2,31,38,10284071,veteran,115
336807037,1,31,5,12747613,new,0
337367930,1,34,279,12387349,beginner,13
335984396,1,34,279,8306867,veteran,30
338428296,3,31,161,12476350,new,9
338699670,2,34,161,789225,veteran,70
336412397,3,31,38,9483392,veteran,93
340764812,2,34,161,9390855,intermediate,76
337395479,1,34,279,2256559,intermediate,38
336153808,1,34,161,6521912,veteran,54
336122448,1,31,38,2987876,intermediate,58
340549516,2,34,5,11469271,beginner,15
337207637,1,31,1487,12357579,beginner,2
335808432,1,34,279,9035230,veteran,255
336189639,2,34,161,9350331,veteran,130
340358763,1,34,279,12642755,beginner,12
338590339,1,31,1487,11559635,intermediate,2
340447630,1,31,279,12063699,new,1
340765122,1,31,5,10316837,beginner,16
336953841,1,34,1487,3419846,intermediate,1
338733168,1,34,1487,10370675,intermediate,2
336215696,1,34,38,9267884,intermediate,33
338439192,2,34,5,12707418,new,2
337738590,2,34,279,12081658,new,2
337037566,3,34,1487,12612396,new,2
336317728,3,34,279,12780784,new,10
337805333,1,34,161,9778973,intermediate,59
339435584,3,31,279,12369328,new,9
337017548,3,34,38,9581804,intermediate,15
338087886,1,34,38,11544147,beginner,11
339835945,1,34,1487,8413023,new,1
337595349,1,31,38,9270509,intermediate,87
338078299,2,34,5,9664549,intermediate,132
336162216,3,31,279,12039900,beginner,6
338695203,3,34,38,12586589,beginner,41
340625401,3,31,279,9769602,beginner,24
338266150,1,34,38,758901,veteran,357
337182377,2,34,279,10389165,intermediate,33
337390774,1,34,161,10798312,beginner,10
340625167,1,34,1487,12083017,new,2
337363256,2,31,1487,12712407,new,0
336221125,1,31,279,12783597,new,1
338111265,3,34,38,8857821,veteran,213
338628939,2,34,38,12266054,beginner,11
340285262,1,34,38,6305915,intermediate,150
336464732,3,31,38,11339093,intermediate,117
338104442,1,34,38,12575982,beginner,19
339382951,2,31,5,12240935,beginner,62
340595725,2,34,5,2827074,veteran,714
335770635,2,31,279,8063040,veteran,147
335843222,3,34,279,9924931,intermediate,68
340417103,1,34,5,11871001,beginner,20
336783469,3,31,279,10672627,beginner,20
336559039,2,31,161,11815335,intermediate,112
336108038,1,34,38,3222925,intermediate,71
339341936,2,31,5,9279187,beginner,22
338544351,2,31,1487,12628970,beginner,3
338922361,1,31,279,12774640,beginner,6
335926340,1,31,1487,6342319,veteran,0
336127845,1,31,5,9162572,beginner,14
338851142,1,34,1487,10430247,new,1
335858813,2,31,5,10261170,veteran,91
340635623,1,34,161,12122350,beginner,18
337613679,1,31,1487,1166025,intermediate,1
335891902,1,34,38,12398040,intermediate,53
338059439,1,31,279,12872303,new,0
336378276,1,34,279,6559040,intermediate,65
337656706,1,34,279,10027351,intermediate,5
338609328,1,31,279,12774708,new,4
339802469,2,31,5,10329892,new,22
338773034,2,31,5,8105409,intermediate,240
335822043,2,34,279,9626843,intermediate,98
339439345,1,34,38,8150634,new,9
336667561,2,34,38,9524370,beginner,8
336087961,2,34,279,11051717,intermediate,22
337158841,1,31,5,12602977,beginner,9
338523669,1,34,1487,9493208,beginner,0
335958526,1,31,5,10870810,intermediate,27
340496331,1,34,5,7864114,veteran,278
339279409,2,34,5,2013384,veteran,323
339798759,1,34,38,11636139,intermediate,31
339054861,2,34,1487,11732577,beginner,2
337707698,2,31,5,11061486,new,3
338564279,1,34,38,12865788,new,1
339700540,1,34,1487,8805557,intermediate,6
337364276,1,34,38,6084043,veteran,53
337594222,3,34,161,6084043,veteran,85
337248868,1,34,38,6084043,veteran,52
338099756,1,34,5,11397416,intermediate,25
336814378,1,31,38,12716159,new,4
336665637,2,34,279,11117650,beginner,15
337668780,1,34,161,10700450,veteran,120
338280211,1,31,1487,12787173,new,3
339540330,2,34,5,10215672,intermediate,47
339265346,1,31,1487,12769642,new,1
